visitor_ab,home_ab,visitor_hr,home_hr,home,visitor
32,34,1,1,BOS,CLE
40,34,1,1,BOS,CLE
28,34,0,1,BOS,NYA
40,43,2,2,TEX,CLE
35,31,1,1,BOS,NYA
36,36,1,0,TEX,CLE
37,36,2,0,BOS,NYA
31,28,1,0,TEX,CLE
40,36,2,1,MIN,BOS
50,43,0,0,CLE,DET
31,32,1,0,MIN,BOS
33,41,0,1,CLE,DET
36,31,1,0,MIN,BOS
33,30,0,1,CLE,DET
30,35,0,0,CLE,MIN
37,38,3,0,SEA,BOS
32,32,0,1,CLE,MIN
32,32,2,2,SEA,BOS
31,33,1,1,SEA,BOS
30,27,0,1,BOS,TBA
38,30,1,2,BOS,TBA
49,60,1,1,CHA,CLE
33,29,2,0,BOS,TBA
35,30,0,1,CHA,CLE
36,35,1,1,CHA,CLE
33,32,0,1,KCA,BOS
32,31,0,3,DET,CLE
37,28,1,0,KCA,BOS
